tournament_sheet,map_name,team_name,player_name,position,hero_name,pick_count,total_scope_picks,pick_rate
China - Stage 1,Aatlis,All Gamers,Alphari,DPS,Vendetta,4,7,0.5714
China - Stage 1,Aatlis,All Gamers,Alphari,DPS,Symmetra,1,7,0.1429
China - Stage 1,Aatlis,All Gamers,Alphari,DPS,Tracer,1,7,0.1429
China - Stage 1,Aatlis,All Gamers,Alphari,DPS,Reaper,1,7,0.1429
China - Stage 1,Aatlis,All Gamers,Ezhan,DPS,Emre,4,10,0.4
China - Stage 1,Aatlis,All Gamers,Ezhan,DPS,Sojourn,2,10,0.2
China - Stage 1,Aatlis,All Gamers,Ezhan,DPS,Cassidy,2,10,0.2
China - Stage 1,Aatlis,All Gamers,Ezhan,DPS,Soldier: 76,1,10,0.1
China - Stage 1,Aatlis,All Gamers,Ezhan,DPS,Reaper,1,10,0.1
China - Stage 1,Aatlis,All Gamers,Insane,DPS,Venture,1,2,0.5
China - Stage 1,Aatlis,All Gamers,Insane,DPS,Pharah,1,2,0.5
China - Stage 1,Aatlis,All Gamers,Lengsa,Support,Lúcio,5,7,0.7143
China - Stage 1,Aatlis,All Gamers,Lengsa,Support,Jetpack Cat,1,7,0.1429
China - Stage 1,Aatlis,All Gamers,Lengsa,Support,Brigitte,1,7,0.1429
China - Stage 1,Aatlis,All Gamers,LiGe,Tank,Zarya,6,7,0.8571
China - Stage 1,Aatlis,All Gamers,LiGe,Tank,Mauga,1,7,0.1429
China - Stage 1,Aatlis,All Gamers,Recall,Support,Juno,6,11,0.5455
China - Stage 1,Aatlis,All Gamers,Recall,Support,Kiriko,5,11,0.4545
China - Stage 1,Aatlis,DEG,Limbo,Tank,Hazard,1,2,0.5
China - Stage 1,Aatlis,DEG,Limbo,Tank,Doomfist,1,2,0.5
China - Stage 1,Aatlis,DEG,SINCE,Support,Kiriko,2,2,1.0
China - Stage 1,Aatlis,DEG,Saya,Support,Brigitte,2,2,1.0
China - Stage 1,Aatlis,DEG,Wangming,DPS,Vendetta,2,4,0.5
China - Stage 1,Aatlis,DEG,Wangming,DPS,Symmetra,2,4,0.5
China - Stage 1,Aatlis,DEG,skyshow,DPS,Cassidy,2,4,0.5
China - Stage 1,Aatlis,DEG,skyshow,DPS,Venture,1,4,0.25
China - Stage 1,Aatlis,DEG,skyshow,DPS,Tracer,1,4,0.25
China - Stage 1,Aatlis,Homie E,9TRIBEZ,Tank,Zarya,2,2,1.0
China - Stage 1,Aatlis,Homie E,Lilko,DPS,Vendetta,2,2,1.0
China - Stage 1,Aatlis,Homie E,Remedy,Support,Kiriko,2,4,0.5
China - Stage 1,Aatlis,Homie E,Remedy,Support,Juno,2,4,0.5
China - Stage 1,Aatlis,Homie E,Unkn0w,Support,Lúcio,2,2,1.0
China - Stage 1,Aatlis,Homie E,fari,DPS,Sojourn,2,2,1.0
China - Stage 1,Aatlis,JD Gaming,Belosrea,Tank,Winston,1,5,0.2
China - Stage 1,Aatlis,JD Gaming,Belosrea,Tank,Hazard,1,5,0.2
China - Stage 1,Aatlis,JD Gaming,Belosrea,Tank,Wrecking Ball,1,5,0.2
China - Stage 1,Aatlis,JD Gaming,Belosrea,Tank,Ramattra,1,5,0.2
China - Stage 1,Aatlis,JD Gaming,Belosrea,Tank,Orisa,1,5,0.2
China - Stage 1,Aatlis,JD Gaming,Kaneki,DPS,Tracer,2,4,0.5
China - Stage 1,Aatlis,JD Gaming,Kaneki,DPS,Symmetra,2,4,0.5
China - Stage 1,Aatlis,JD Gaming,MewTwo,Support,Lúcio,3,3,1.0
China - Stage 1,Aatlis,JD Gaming,Mmonk,Support,Kiriko,3,3,1.0
China - Stage 1,Aatlis,JD Gaming,Pineapple,DPS,Sojourn,2,4,0.5
China - Stage 1,Aatlis,JD Gaming,Pineapple,DPS,Emre,1,4,0.25
China - Stage 1,Aatlis,JD Gaming,Pineapple,DPS,Cassidy,1,4,0.25
China - Stage 1,Aatlis,Milk Tea,Diya,Support,Kiriko,3,5,0.6
China - Stage 1,Aatlis,Milk Tea,Diya,Support,Juno,2,5,0.4
China - Stage 1,Aatlis,Milk Tea,Eileen,DPS,Vendetta,2,4,0.5
China - Stage 1,Aatlis,Milk Tea,Eileen,DPS,Sojourn,1,4,0.25
China - Stage 1,Aatlis,Milk Tea,Eileen,DPS,Cassidy,1,4,0.25
China - Stage 1,Aatlis,Milk Tea,Hypnos,Support,Lúcio,2,2,1.0
China - Stage 1,Aatlis,Milk Tea,TCC,Support,Lúcio,1,1,1.0
China - Stage 1,Aatlis,Milk Tea,Taimouren,DPS,Symmetra,3,6,0.5
China - Stage 1,Aatlis,Milk Tea,Taimouren,DPS,Sojourn,2,6,0.3333
China - Stage 1,Aatlis,Milk Tea,Taimouren,DPS,Tracer,1,6,0.1667
China - Stage 1,Aatlis,Milk Tea,feiyang,Tank,Zarya,1,5,0.2
China - Stage 1,Aatlis,Milk Tea,feiyang,Tank,Wrecking Ball,1,5,0.2
China - Stage 1,Aatlis,Milk Tea,feiyang,Tank,D.Va,1,5,0.2
China - Stage 1,Aatlis,Milk Tea,feiyang,Tank,Ramattra,1,5,0.2
China - Stage 1,Aatlis,Milk Tea,feiyang,Tank,Sigma,1,5,0.2
China - Stage 1,Aatlis,Naive Piggy,Coldj,Support,Lúcio,6,9,0.6667
China - Stage 1,Aatlis,Naive Piggy,Coldj,Support,Brigitte,2,9,0.2222
China - Stage 1,Aatlis,Naive Piggy,Coldj,Support,Kiriko,1,9,0.1111
