map_name,hero_name,role,usage_count,pick_count,pick_rate
Aatlis,Zarya,Tank,54,54,0.3418
Aatlis,Kiriko,Support,93,93,0.3207
Aatlis,Lúcio,Support,86,85,0.2931
Aatlis,Juno,Support,61,60,0.2069
Aatlis,Vendetta,DPS,70,69,0.196
Aatlis,Symmetra,DPS,67,66,0.1875
Aatlis,Emre,DPS,61,61,0.1733
Aatlis,D.Va,Tank,24,24,0.1519
Aatlis,Tracer,DPS,56,53,0.1506
Aatlis,Hazard,Tank,21,21,0.1329
Aatlis,Sojourn,DPS,46,46,0.1307
Aatlis,Brigitte,Support,24,24,0.0828
Aatlis,Ramattra,Tank,13,13,0.0823
Aatlis,Mauga,Tank,13,13,0.0823
Aatlis,Orisa,Tank,11,11,0.0696
Aatlis,Cassidy,DPS,24,24,0.0682
Aatlis,Wrecking Ball,Tank,7,7,0.0443
Aatlis,Baptiste,Support,10,10,0.0345
Aatlis,Reinhardt,Tank,4,4,0.0253
Aatlis,Doomfist,Tank,4,4,0.0253
Aatlis,Wuyang,Support,6,6,0.0207
Aatlis,Junker Queen,Tank,3,3,0.019
Aatlis,Mei,DPS,6,6,0.017
Aatlis,Venture,DPS,5,5,0.0142
Aatlis,Echo,DPS,5,5,0.0142
Aatlis,Pharah,DPS,5,5,0.0142
Aatlis,Jetpack Cat,Support,4,4,0.0138
Aatlis,Winston,Tank,2,2,0.0127
Aatlis,Sigma,Tank,2,2,0.0127
Aatlis,Reaper,DPS,5,4,0.0114
Aatlis,Illari,Support,3,3,0.0103
Aatlis,Genji,DPS,3,3,0.0085
Aatlis,Ana,Support,2,2,0.0069
Aatlis,Mizuki,Support,2,2,0.0069
Aatlis,Bastion,DPS,2,2,0.0057
Aatlis,Moira,Support,1,1,0.0034
Aatlis,Sierra,DPS,1,1,0.0028
Aatlis,Soldier: 76,DPS,1,1,0.0028
Aatlis,Anran,DPS,1,1,0.0028
Blizzard World,D.Va,Tank,46,46,0.213
Blizzard World,Tracer,DPS,90,89,0.2104
Blizzard World,Kiriko,Support,74,70,0.1887
Blizzard World,Lúcio,Support,68,64,0.1725
Blizzard World,Emre,DPS,67,67,0.1584
Blizzard World,Zarya,Tank,32,32,0.1481
Blizzard World,Symmetra,DPS,64,62,0.1466
Blizzard World,Sojourn,DPS,59,58,0.1371
Blizzard World,Ana,Support,47,47,0.1267
Blizzard World,Winston,Tank,27,27,0.125
Blizzard World,Brigitte,Support,38,38,0.1024
Blizzard World,Widowmaker,DPS,41,41,0.0969
Blizzard World,Wrecking Ball,Tank,20,20,0.0926
Blizzard World,Juno,Support,36,34,0.0916
Blizzard World,Orisa,Tank,18,18,0.0833
Blizzard World,Wuyang,Support,30,30,0.0809
Blizzard World,Jetpack Cat,Support,30,30,0.0809
Blizzard World,Mauga,Tank,17,17,0.0787
Blizzard World,Vendetta,DPS,30,30,0.0709
Blizzard World,Sigma,Tank,14,14,0.0648
Blizzard World,Cassidy,DPS,23,23,0.0544
Blizzard World,Illari,Support,20,20,0.0539
Blizzard World,Hazard,Tank,10,10,0.0463
Blizzard World,Ramattra,Tank,8,8,0.037
Blizzard World,Doomfist,Tank,8,8,0.037
Blizzard World,Lifeweaver,Support,13,13,0.035
Blizzard World,Domina,Tank,7,7,0.0324
Blizzard World,Genji,DPS,13,13,0.0307
Blizzard World,Mercy,Support,11,11,0.0296
Blizzard World,Baptiste,Support,10,10,0.027
Blizzard World,Pharah,DPS,10,10,0.0236
Blizzard World,Reinhardt,Tank,4,4,0.0185
Blizzard World,Mei,DPS,7,7,0.0165
Blizzard World,Roadhog,Tank,3,3,0.0139
Blizzard World,Hanzo,DPS,4,4,0.0095
Blizzard World,Bastion,DPS,4,4,0.0095
Blizzard World,Junker Queen,Tank,2,2,0.0093
Blizzard World,Echo,DPS,3,3,0.0071
Blizzard World,Venture,DPS,3,3,0.0071
Blizzard World,Reaper,DPS,3,3,0.0071
Blizzard World,Mizuki,Support,2,2,0.0054
Blizzard World,Ashe,DPS,2,2,0.0047
Blizzard World,Sombra,DPS,2,2,0.0047
Blizzard World,Moira,Support,1,1,0.0027
Blizzard World,Zenyatta,Support,1,1,0.0027
Blizzard World,Freja,DPS,1,1,0.0024
Blizzard World,Torbjörn,DPS,1,1,0.0024
Busan,D.Va,Tank,52,52,0.327
Busan,Kiriko,Support,77,76,0.2648
