tournament_sheet,match_id,match_title,map_set_index,map_name,team_name,player_name,hero_name,usage_count
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,Eileen,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,Taimouren,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,Taimouren,Symmetra,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,feiyang,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,feiyang,D.Va,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,Hypnos,Mizuki,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,Diya,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Milk Tea,Diya,Juno,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,Lilko,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,Lilko,Tracer,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,fari,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,fari,Symmetra,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,9TRIBEZ,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,Unkn0w,Wuyang,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,Remedy,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],0,Busan,Homie E,Remedy,Juno,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Milk Tea,Eileen,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Milk Tea,Taimouren,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Milk Tea,feiyang,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Milk Tea,Hypnos,Lúcio,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Milk Tea,Diya,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Milk Tea,Diya,Juno,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,Lilko,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,Lilko,Tracer,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,fari,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,9TRIBEZ,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,9TRIBEZ,Ramattra,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,Unkn0w,Lúcio,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,Remedy,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],1,Esperança,Homie E,Remedy,Juno,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Eileen,Genji,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Eileen,Freja,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Eileen,Widowmaker,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Taimouren,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Taimouren,Widowmaker,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,feiyang,Sigma,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Hypnos,Ana,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Hypnos,Baptiste,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Milk Tea,Diya,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,Lilko,Genji,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,Lilko,Tracer,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,Lilko,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,fari,Emre,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,fari,Widowmaker,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,9TRIBEZ,Sigma,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,9TRIBEZ,Doomfist,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,Unkn0w,Wuyang,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,Remedy,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],2,Havana,Homie E,Remedy,Ana,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Eileen,Echo,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Eileen,Tracer,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Eileen,Symmetra,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Taimouren,Ashe,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Taimouren,Emre,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Taimouren,Cassidy,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,feiyang,Hazard,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,feiyang,Orisa,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,feiyang,Sigma,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Hypnos,Wuyang,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Hypnos,Lúcio,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Hypnos,Jetpack Cat,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Milk Tea,Diya,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Homie E,Lilko,Tracer,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Homie E,fari,Emre,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Homie E,9TRIBEZ,Hazard,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Homie E,9TRIBEZ,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Homie E,Unkn0w,Wuyang,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],3,Numbani,Homie E,Remedy,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,Eileen,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,Taimouren,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,Taimouren,Symmetra,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,feiyang,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,feiyang,Wrecking Ball,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,Hypnos,Lúcio,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,Diya,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Milk Tea,Diya,Juno,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Homie E,Lilko,Vendetta,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Homie E,fari,Sojourn,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Homie E,9TRIBEZ,Zarya,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Homie E,Unkn0w,Lúcio,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Homie E,Remedy,Kiriko,1
China - Stage 1,China - Stage 1__match_0001,Swiss Stage (Round 1) [Bo5],4,Aatlis,Homie E,Remedy,Juno,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,Ezhan,Emre,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,Alphari,Tracer,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,Alphari,Symmetra,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,LiGe,Orisa,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,Recall,Kiriko,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,Recall,Juno,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,All Gamers,Lengsa,Jetpack Cat,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,DEG,skyshow,Tracer,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,DEG,skyshow,Symmetra,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,DEG,Wangming,Vendetta,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,DEG,Wangming,Symmetra,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,DEG,Limbo,Doomfist,1
China - Stage 1,China - Stage 1__match_0002,Swiss Stage (Round 1) [Bo5],0,Busan,DEG,SINCE,Kiriko,1
