tournament_sheet,match_id,match_title,team_top,team_bottom,hero_name,usage_count
EMEA - Stage 1,EMEA - Stage 1__match_0005,Round Robin [Bo5],Al Qadsiah,Team Peps,Vendetta,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Tracer,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Genji,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Winston,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Lúcio,12
Non-Partner Team Index,Non-Partner Team Index__match_0004,,99DIVINE,99DIVINE,Ana,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Tracer,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Genji,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Winston,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Lúcio,12
Non-Partner Team Index,Non-Partner Team Index__match_0005,,FURY,FURY,Ana,12
Japan - Stage 1,Japan - Stage 1__match_0011,Round Robin [Bo5],TOKYO TAIYOs,Please Not Hero Ban,Kiriko,11
EMEA - Stage 1,EMEA - Stage 1__match_0012,Round Robin [Bo5],Anyone's Legend,Team Peps,Tracer,11
Pacific - Stage 1,Pacific - Stage 1__match_0006,Round Robin [Bo5],Quasar Esports,Rankers,Cassidy,11
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],Weibo Gaming,Team Falcons,Kiriko,10
Korea - Stage 1,Korea - Stage 1__match_0002,Round Robin [Bo5],Crazy Raccoon,ZETA DIVISION,Symmetra,10
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,Sojourn,10
Korea - Stage 1,Korea - Stage 1__match_0003,Round Robin [Bo5],ZAN Esports,RØDE ONSIDE GAMING,Lúcio,10
