tournament_sheet,match_format,hero_name,usage_count
Korea - Stage 1,Round Robin,Kiriko,186
Korea - Stage 1,Round Robin,Lúcio,182
Japan - Stage 1,Round Robin,Kiriko,154
Korea - Stage 1,Round Robin,Symmetra,154
Korea - Stage 1,Round Robin,Tracer,142
Korea - Stage 1,Round Robin,Emre,139
Japan - Stage 1,Round Robin,Symmetra,119
Japan - Stage 1,Round Robin,Emre,116
Japan - Stage 1,Round Robin,Tracer,116
Korea - Stage 1,Round Robin,Vendetta,115
Korea - Stage 1,Round Robin,Sojourn,112
Korea - Stage 1,Round Robin,D.Va,106
Korea - Stage 1,Round Robin,Juno,94
EMEA - Stage 1,Round Robin,Emre,94
Japan - Stage 1,Round Robin,Lúcio,93
Korea - Stage 1,Round Robin,Zarya,90
EMEA - Stage 1,Round Robin,Kiriko,88
North America - Stage 1,Round Robin,Kiriko,88
Japan - Stage 1,Round Robin,Vendetta,87
China - Stage 1,Round Robin,Kiriko,84
Japan - Stage 1,Round Robin,D.Va,83
China - Stage 1,Round Robin,Emre,83
Pacific - Stage 1,Round Robin,Kiriko,82
North America - Stage 1,Round Robin,Tracer,80
EMEA - Stage 1,Round Robin,Lúcio,79
Pacific - Stage 1,Round Robin,Tracer,76
Japan - Stage 1,Round Robin,Juno,75
EMEA - Stage 1,Round Robin,Vendetta,75
EMEA - Stage 1,Round Robin,Juno,74
North America - Stage 1,Round Robin,Lúcio,74
Japan - Stage 1,Round Robin,Cassidy,70
North America - Stage 1,Round Robin,Emre,70
China - Stage 1,Round Robin,Lúcio,69
China - Stage 1,Round Robin,Tracer,68
China - Stage 1,Swiss Stage,Kiriko,67
Korea - Stage 1,Round Robin,Brigitte,64
China - Stage 1,Swiss Stage,Vendetta,64
EMEA - Stage 1,Round Robin,Zarya,64
Korea - Stage 1,Round Robin,Ana,62
China - Stage 1,Round Robin,Symmetra,61
Pacific - Stage 1,Round Robin,D.Va,60
EMEA - Stage 1,Round Robin,Tracer,59
Japan - Stage 1,Round Robin,Sojourn,57
Japan - Stage 1,Round Robin,Brigitte,57
Japan - Stage 1,Round Robin,Wuyang,55
Pacific - Stage 1,Round Robin,Emre,55
China - Stage 1,Swiss Stage,Lúcio,54
North America - Stage 1,Round Robin,Symmetra,54
North America - Stage 1,Round Robin,D.Va,54
North America - Stage 1,Round Robin,Juno,54
Non-Partner Team Index,UNKNOWN,Tracer,54
Non-Partner Team Index,UNKNOWN,Genji,54
Non-Partner Team Index,UNKNOWN,Winston,54
Non-Partner Team Index,UNKNOWN,Lúcio,54
Non-Partner Team Index,UNKNOWN,Ana,54
Pacific - Stage 1,Round Robin,Symmetra,53
Pacific - Stage 1,Round Robin,Lúcio,52
China - Stage 1,Round Robin,Juno,51
Japan - Stage 1,Round Robin,Zarya,47
Korea - Stage 1,Round Robin,Hazard,47
China - Stage 1,Swiss Stage,Sojourn,47
Pacific - Stage 1,Round Robin,Sojourn,47
Korea - Stage 1,Round Robin,Widowmaker,45
China - Stage 1,Swiss Stage,Juno,45
North America - Stage 1,Round Robin,Sojourn,45
Korea - Stage 1,Round Robin,Cassidy,44
Japan - Stage 1,Round Robin,Ana,43
North America - Stage 1,Round Robin,Vendetta,42
Japan - Stage 1,Round Robin,Ramattra,41
China - Stage 1,Swiss Stage,Symmetra,41
Japan - Stage 1,Round Robin,Orisa,40
EMEA - Stage 1,Round Robin,D.Va,39
China - Stage 1,Round Robin,Sojourn,38
Japan - Stage 1,Round Robin,Widowmaker,36
Pacific - Stage 1,Round Robin,Ana,36
Korea - Stage 1,Round Robin,Pharah,35
China - Stage 1,Swiss Stage,D.Va,35
Japan - Stage 1,Round Robin,Baptiste,34
Korea - Stage 1,Round Robin,Jetpack Cat,34
China - Stage 1,Swiss Stage,Tracer,34
Pacific - Stage 1,Round Robin,Illari,34
Korea - Stage 1,Round Robin,Wrecking Ball,32
China - Stage 1,Swiss Stage,Emre,32
China - Stage 1,Swiss Stage,Zarya,32
China - Stage 1,Round Robin,D.Va,32
North America - Stage 1,Round Robin,Brigitte,32
Japan - Stage 1,Round Robin,Winston,31
Korea - Stage 1,Round Robin,Genji,31
China - Stage 1,Round Robin,Brigitte,31
EMEA - Stage 1,Round Robin,Brigitte,31
Korea - Stage 1,Round Robin,Orisa,30
China - Stage 1,Round Robin,Ana,30
North America - Stage 1,Round Robin,Cassidy,30
Korea - Stage 1,Seeding Decider,Tracer,29
Korea - Stage 1,Seeding Decider,Kiriko,29
China - Stage 1,Round Robin,Cassidy,29
China - Stage 1,Round Robin,Zarya,29
Japan - Stage 1,Round Robin,Hazard,28
Korea - Stage 1,Round Robin,Wuyang,28
EMEA - Stage 1,Round Robin,Pharah,28
