player_name,team_name,hero_name,usage_count
Fielder,Team Falcons,Kiriko,44
HeeSang,Crazy Raccoon,Tracer,38
Recall,All Gamers,Kiriko,38
Vigilante,Crazy Raccoon,Kiriko,36
iRONY,RØDE ONSIDE GAMING,Kiriko,36
Kevster,Virtus.pro,Emre,34
ChiYo,Team Falcons,Lúcio,34
Argon,Cheeseburger,Tracer,33
Landon,Virtus.pro,Kiriko,31
KILO,RØDE ONSIDE GAMING,Emre,31
Lengsa,All Gamers,Lúcio,31
Mmonk,JD Gaming,Kiriko,31
OPENER,RØDE ONSIDE GAMING,Lúcio,30
Admiral,Spacestation Gaming,Lúcio,30
skewed,T1,Kiriko,29
Bliss,T1,Lúcio,29
Simple,Twisted Minds,Kiriko,29
ZIYAD,Geekay Esports,Zarya,29
FiXa,Virtus.pro,Lúcio,28
MAKA,Weibo Gaming,Kiriko,28
Quartz,Twisted Minds,Emre,28
FunnyAstro,Twisted Minds,Lúcio,28
D4IJIN,99DIVINE,Kiriko,28
Diya,Milk Tea,Kiriko,28
Ezhan,All Gamers,Emre,28
Kaneki,JD Gaming,Tracer,28
LBBD7,Geekay Esports,Emre,28
FiNN,Geekay Esports,Kiriko,28
Lethal,Spacestation Gaming,Emre,28
Proper,ZETA DIVISION,Tracer,27
KIVIS,ZAN Esports,Kiriko,27
Noy,SV,Kiriko,27
UltraViolet,Spacestation Gaming,Kiriko,27
FDGod,Team Peps,Lúcio,26
Checkmate,Team Falcons,Symmetra,26
SORI,99DIVINE,Emre,26
MewTwo,JD Gaming,Lúcio,26
Hawk,Spacestation Gaming,D.Va,26
Fielder,Team Falcons,Juno,25
HeeSang,Crazy Raccoon,Symmetra,25
TR33,Team Liquid,Emre,25
Soae,Please Not Hero Ban,Symmetra,25
NewJ,ENTER FORCE.36,Emre,25
NICO,VARREL,Emre,25
Supreme,99DIVINE,Lúcio,25
SP1NT,RØDE ONSIDE GAMING,Tracer,25
eisgnom,Virtus.pro,Zarya,25
Haku,Geekay Esports,Lúcio,25
Kronik,Dallas Fuel,Sojourn,24
LiGe,All Gamers,D.Va,24
Zeruhh,Team Liquid,Tracer,24
Ky0n,Please Not Hero Ban,Cassidy,24
