team_name,hero_name,role,usage_count,pick_count,pick_rate
99DIVINE,Winston,Tank,24,18,0.2812
99DIVINE,Tracer,DPS,37,30,0.2609
99DIVINE,Kiriko,Support,28,28,0.2523
99DIVINE,Emre,DPS,26,26,0.2261
99DIVINE,D.Va,Tank,13,13,0.2031
99DIVINE,Ana,Support,26,20,0.1802
99DIVINE,Lúcio,Support,25,19,0.1712
99DIVINE,Hazard,Tank,10,10,0.1562
99DIVINE,Juno,Support,14,13,0.1171
99DIVINE,Zarya,Tank,7,7,0.1094
99DIVINE,Symmetra,DPS,13,12,0.1043
99DIVINE,Wrecking Ball,Tank,6,6,0.0938
99DIVINE,Cassidy,DPS,10,10,0.087
99DIVINE,Wuyang,Support,9,9,0.0811
99DIVINE,Brigitte,Support,9,9,0.0811
99DIVINE,Vendetta,DPS,8,8,0.0696
99DIVINE,Jetpack Cat,Support,7,7,0.0631
99DIVINE,Orisa,Tank,4,4,0.0625
99DIVINE,Mauga,Tank,4,4,0.0625
99DIVINE,Echo,DPS,7,7,0.0609
99DIVINE,Sojourn,DPS,7,7,0.0609
99DIVINE,Genji,DPS,12,6,0.0522
99DIVINE,Mizuki,Support,4,4,0.036
99DIVINE,Widowmaker,DPS,3,3,0.0261
99DIVINE,Pharah,DPS,3,3,0.0261
99DIVINE,Roadhog,Tank,1,1,0.0156
99DIVINE,Sigma,Tank,1,1,0.0156
99DIVINE,Baptiste,Support,1,1,0.009
99DIVINE,Zenyatta,Support,1,1,0.009
99DIVINE,Venture,DPS,1,1,0.0087
99DIVINE,Sombra,DPS,1,1,0.0087
99DIVINE,Soldier: 76,DPS,1,1,0.0087
Al Qadsiah,Zarya,Tank,17,17,0.3778
Al Qadsiah,Lúcio,Support,24,21,0.2442
Al Qadsiah,Emre,DPS,24,24,0.233
Al Qadsiah,Kiriko,Support,20,20,0.2326
Al Qadsiah,Juno,Support,18,18,0.2093
Al Qadsiah,D.Va,Tank,8,8,0.1778
Al Qadsiah,Vendetta,DPS,21,18,0.1748
Al Qadsiah,Mauga,Tank,7,7,0.1556
Al Qadsiah,Tracer,DPS,19,15,0.1456
Al Qadsiah,Symmetra,DPS,13,12,0.1165
Al Qadsiah,Pharah,DPS,10,10,0.0971
Al Qadsiah,Orisa,Tank,4,4,0.0889
Al Qadsiah,Widowmaker,DPS,9,9,0.0874
Al Qadsiah,Brigitte,Support,7,7,0.0814
Al Qadsiah,Illari,Support,7,7,0.0814
Al Qadsiah,Sojourn,DPS,7,7,0.068
Al Qadsiah,Domina,Tank,3,3,0.0667
Al Qadsiah,Winston,Tank,6,3,0.0667
Al Qadsiah,Zenyatta,Support,5,5,0.0581
Al Qadsiah,Ana,Support,8,5,0.0581
Al Qadsiah,Sigma,Tank,2,2,0.0444
Al Qadsiah,Genji,DPS,7,4,0.0388
Al Qadsiah,Jetpack Cat,Support,2,2,0.0233
Al Qadsiah,Wrecking Ball,Tank,1,1,0.0222
Al Qadsiah,Echo,DPS,3,2,0.0194
Al Qadsiah,Baptiste,Support,1,1,0.0116
Al Qadsiah,Bastion,DPS,1,1,0.0097
Al Qadsiah,Sombra,DPS,1,1,0.0097
All Gamers,D.Va,Tank,24,24,0.2892
All Gamers,Kiriko,Support,40,40,0.2395
All Gamers,Mauga,Tank,17,17,0.2048
All Gamers,Lúcio,Support,37,34,0.2036
All Gamers,Tracer,DPS,41,38,0.1818
All Gamers,Emre,DPS,32,32,0.1531
All Gamers,Juno,Support,24,24,0.1437
All Gamers,Symmetra,DPS,30,29,0.1388
All Gamers,Zarya,Tank,11,11,0.1325
All Gamers,Jetpack Cat,Support,21,21,0.1257
All Gamers,Ana,Support,19,16,0.0958
All Gamers,Widowmaker,DPS,17,17,0.0813
All Gamers,Wrecking Ball,Tank,6,6,0.0723
All Gamers,Brigitte,Support,12,12,0.0719
All Gamers,Ramattra,Tank,5,5,0.0602
All Gamers,Reinhardt,Tank,5,5,0.0602
All Gamers,Cassidy,DPS,12,12,0.0574
All Gamers,Vendetta,DPS,12,12,0.0574
All Gamers,Bastion,DPS,13,12,0.0574
All Gamers,Winston,Tank,7,4,0.0482
All Gamers,Sojourn,DPS,9,9,0.0431
All Gamers,Baptiste,Support,7,7,0.0419
All Gamers,Pharah,DPS,8,8,0.0383
All Gamers,Domina,Tank,3,3,0.0361
All Gamers,Sigma,Tank,3,3,0.0361
All Gamers,Soldier: 76,DPS,7,7,0.0335
All Gamers,Mei,DPS,6,6,0.0287
All Gamers,Reaper,DPS,8,6,0.0287
All Gamers,Genji,DPS,9,6,0.0287
All Gamers,Orisa,Tank,2,2,0.0241
All Gamers,Hazard,Tank,2,2,0.0241
All Gamers,Echo,DPS,5,5,0.0239
All Gamers,Venture,DPS,4,4,0.0191
All Gamers,Hanzo,DPS,4,4,0.0191
All Gamers,Illari,Support,3,3,0.018
All Gamers,Lifeweaver,Support,3,3,0.018
All Gamers,Mercy,Support,3,3,0.018
All Gamers,Mizuki,Support,2,2,0.012
All Gamers,Wuyang,Support,2,2,0.012
All Gamers,Doomfist,Tank,1,1,0.012
All Gamers,Anran,DPS,2,2,0.0096
Anyone's Legend,Kiriko,Support,17,17,0.3333
Anyone's Legend,Lúcio,Support,15,15,0.2941
Anyone's Legend,Emre,DPS,13,13,0.2281
Anyone's Legend,Zarya,Tank,7,7,0.2258
Anyone's Legend,Mauga,Tank,7,7,0.2258
Anyone's Legend,Juno,Support,10,10,0.1961
Anyone's Legend,Tracer,DPS,11,11,0.193
Anyone's Legend,Winston,Tank,5,5,0.1613
Anyone's Legend,Wrecking Ball,Tank,5,5,0.1613
Anyone's Legend,Vendetta,DPS,9,9,0.1579
Anyone's Legend,D.Va,Tank,4,4,0.129
Anyone's Legend,Sojourn,DPS,7,7,0.1228
Anyone's Legend,Widowmaker,DPS,5,5,0.0877
Anyone's Legend,Echo,DPS,5,5,0.0877
Anyone's Legend,Pharah,DPS,4,4,0.0702
Anyone's Legend,Doomfist,Tank,2,2,0.0645
Anyone's Legend,Brigitte,Support,3,3,0.0588
Anyone's Legend,Lifeweaver,Support,2,2,0.0392
Anyone's Legend,Ana,Support,2,2,0.0392
Anyone's Legend,Orisa,Tank,1,1,0.0323
Anyone's Legend,Illari,Support,1,1,0.0196
