tournament_sheet,hero_name,role,usage_count,pick_count,pick_rate
China - Stage 1,Kiriko,Support,206,202,0.2726
China - Stage 1,D.Va,Tank,91,91,0.2177
China - Stage 1,Lúcio,Support,155,153,0.2065
China - Stage 1,Zarya,Tank,78,78,0.1866
China - Stage 1,Emre,DPS,144,143,0.1578
China - Stage 1,Tracer,DPS,144,138,0.1523
China - Stage 1,Juno,Support,112,111,0.1498
China - Stage 1,Symmetra,DPS,137,132,0.1457
China - Stage 1,Vendetta,DPS,106,106,0.117
China - Stage 1,Sojourn,DPS,96,96,0.106
China - Stage 1,Orisa,Tank,39,39,0.0933
China - Stage 1,Hazard,Tank,38,38,0.0909
China - Stage 1,Brigitte,Support,62,62,0.0837
China - Stage 1,Mauga,Tank,33,33,0.0789
China - Stage 1,Ana,Support,59,57,0.0769
China - Stage 1,Ramattra,Tank,29,29,0.0694
China - Stage 1,Jetpack Cat,Support,51,50,0.0675
China - Stage 1,Doomfist,Tank,25,25,0.0598
China - Stage 1,Wrecking Ball,Tank,23,23,0.055
China - Stage 1,Sigma,Tank,22,22,0.0526
China - Stage 1,Winston,Tank,21,21,0.0502
China - Stage 1,Cassidy,DPS,46,45,0.0497
China - Stage 1,Wuyang,Support,34,34,0.0459
China - Stage 1,Widowmaker,DPS,43,40,0.0442
China - Stage 1,Bastion,DPS,41,40,0.0442
China - Stage 1,Pharah,DPS,36,36,0.0397
China - Stage 1,Baptiste,Support,30,28,0.0378
China - Stage 1,Illari,Support,28,27,0.0364
China - Stage 1,Mei,DPS,28,27,0.0298
China - Stage 1,Reaper,DPS,25,22,0.0243
China - Stage 1,Reinhardt,Tank,9,9,0.0215
China - Stage 1,Venture,DPS,15,15,0.0166
China - Stage 1,Genji,DPS,14,14,0.0155
China - Stage 1,Junker Queen,Tank,6,6,0.0144
China - Stage 1,Hanzo,DPS,11,11,0.0121
China - Stage 1,Echo,DPS,10,10,0.011
China - Stage 1,Mercy,Support,9,8,0.0108
China - Stage 1,Roadhog,Tank,4,4,0.0096
China - Stage 1,Soldier: 76,DPS,8,8,0.0088
China - Stage 1,Sierra,DPS,7,7,0.0077
China - Stage 1,Freja,DPS,6,6,0.0066
China - Stage 1,Ashe,DPS,6,6,0.0066
China - Stage 1,Anran,DPS,4,4,0.0044
China - Stage 1,Mizuki,Support,3,3,0.004
