hero_name,matches_played,wins,losses,win_rate
Kiriko,972,462,510,0.4753
Tracer,812,364,448,0.4483
Lúcio,809,365,444,0.4512
Emre,756,372,384,0.4921
Symmetra,615,304,311,0.4943
D.Va,530,257,273,0.4849
Vendetta,517,246,271,0.4758
Juno,499,239,260,0.479
Sojourn,484,205,279,0.4236
Zarya,419,196,223,0.4678
Ana,322,162,160,0.5031
Brigitte,312,127,185,0.4071
Jetpack Cat,260,132,128,0.5077
Cassidy,249,105,144,0.4217
Widowmaker,237,114,123,0.481
Pharah,172,93,79,0.5407
Wuyang,171,80,91,0.4678
Winston,166,69,97,0.4157
Wrecking Ball,159,78,81,0.4906
Orisa,158,70,88,0.443
Hazard,154,74,80,0.4805
Illari,148,82,66,0.5541
Mauga,134,57,77,0.4254
Ramattra,133,54,79,0.406
Genji,130,54,76,0.4154
Baptiste,124,49,75,0.3952
Bastion,107,51,56,0.4766
Echo,105,48,57,0.4571
Doomfist,90,23,67,0.2556
Sigma,85,31,54,0.3647
Mei,77,30,47,0.3896
Domina,76,36,40,0.4737
Mizuki,66,31,35,0.4697
Reaper,62,28,34,0.4516
Hanzo,51,28,23,0.549
Venture,48,18,30,0.375
Anran,39,19,20,0.4872
Mercy,28,16,12,0.5714
Reinhardt,27,14,13,0.5185
Lifeweaver,27,14,13,0.5185
Zenyatta,27,9,18,0.3333
Ashe,26,10,16,0.3846
Freja,25,8,17,0.32
Sombra,23,8,15,0.3478
Roadhog,17,6,11,0.3529
Soldier: 76,16,4,12,0.25
Sierra,15,8,7,0.5333
Torbjörn,14,5,9,0.3571
Moira,12,3,9,0.25
Junker Queen,9,2,7,0.2222
Junkrat,1,1,0,1.0
