map_name,hero_name,matches_played,wins,losses,win_rate
Aatlis,Ana,2,2,0,1.0
Aatlis,Illari,3,3,0,1.0
Aatlis,Moira,1,1,0,1.0
Aatlis,Winston,2,2,0,1.0
Aatlis,Echo,5,3,2,0.6
Aatlis,Jetpack Cat,4,2,2,0.5
Aatlis,Mizuki,2,1,1,0.5
Aatlis,Reinhardt,4,2,2,0.5
Aatlis,Lúcio,83,41,42,0.494
Aatlis,Symmetra,67,33,34,0.4925
Aatlis,Kiriko,91,44,47,0.4835
Aatlis,Hazard,21,10,11,0.4762
Aatlis,Emre,61,29,32,0.4754
Aatlis,Vendetta,69,32,37,0.4638
Aatlis,Baptiste,9,4,5,0.4444
Aatlis,Zarya,54,24,30,0.4444
Aatlis,D.Va,23,10,13,0.4348
Aatlis,Tracer,56,24,32,0.4286
Aatlis,Wrecking Ball,7,3,4,0.4286
Aatlis,Ramattra,12,5,7,0.4167
Aatlis,Mei,5,2,3,0.4
Aatlis,Reaper,5,2,3,0.4
Aatlis,Sojourn,45,18,27,0.4
Aatlis,Wuyang,5,2,3,0.4
Aatlis,Juno,60,23,37,0.3833
Aatlis,Orisa,11,4,7,0.3636
Aatlis,Cassidy,23,8,15,0.3478
Aatlis,Mauga,13,4,9,0.3077
Aatlis,Brigitte,24,7,17,0.2917
Aatlis,Doomfist,4,1,3,0.25
Aatlis,Venture,5,1,4,0.2
Aatlis,Anran,1,0,1,0.0
Aatlis,Bastion,2,0,2,0.0
Aatlis,Genji,3,0,3,0.0
Aatlis,Junker Queen,3,0,3,0.0
Aatlis,Pharah,5,0,5,0.0
Aatlis,Sierra,1,0,1,0.0
Aatlis,Sigma,2,0,2,0.0
Aatlis,Soldier: 76,1,0,1,0.0
Blizzard World,Ashe,2,2,0,1.0
Blizzard World,Pharah,10,8,2,0.8
Blizzard World,Reaper,3,2,1,0.6667
Blizzard World,Roadhog,3,2,1,0.6667
Blizzard World,Mauga,17,11,6,0.6471
Blizzard World,Mercy,11,7,4,0.6364
Blizzard World,Wrecking Ball,20,12,8,0.6
Blizzard World,Widowmaker,40,23,17,0.575
Blizzard World,Juno,35,20,15,0.5714
Blizzard World,Sigma,14,8,6,0.5714
Blizzard World,Ana,47,26,21,0.5532
Blizzard World,Vendetta,28,15,13,0.5357
Blizzard World,Symmetra,63,33,30,0.5238
Blizzard World,Jetpack Cat,29,15,14,0.5172
Blizzard World,Doomfist,8,4,4,0.5
Blizzard World,Hanzo,4,2,2,0.5
Blizzard World,Hazard,10,5,5,0.5
Blizzard World,Illari,20,10,10,0.5
Blizzard World,Junker Queen,2,1,1,0.5
Blizzard World,Lifeweaver,12,6,6,0.5
Blizzard World,Mizuki,2,1,1,0.5
Blizzard World,Ramattra,8,4,4,0.5
Blizzard World,Reinhardt,4,2,2,0.5
Blizzard World,Sombra,2,1,1,0.5
Blizzard World,Venture,2,1,1,0.5
Blizzard World,Wuyang,30,15,15,0.5
Blizzard World,D.Va,45,22,23,0.4889
Blizzard World,Winston,27,13,14,0.4815
Blizzard World,Emre,65,31,34,0.4769
Blizzard World,Tracer,90,42,48,0.4667
Blizzard World,Zarya,30,14,16,0.4667
Blizzard World,Genji,13,6,7,0.4615
Blizzard World,Kiriko,72,33,39,0.4583
Blizzard World,Sojourn,59,27,32,0.4576
Blizzard World,Lúcio,66,29,37,0.4394
Blizzard World,Domina,7,3,4,0.4286
Blizzard World,Mei,7,3,4,0.4286
Blizzard World,Baptiste,10,4,6,0.4
Blizzard World,Brigitte,38,15,23,0.3947
Blizzard World,Orisa,18,7,11,0.3889
Blizzard World,Cassidy,23,8,15,0.3478
Blizzard World,Echo,3,1,2,0.3333
Blizzard World,Bastion,4,1,3,0.25
Blizzard World,Freja,1,0,1,0.0
Blizzard World,Moira,1,0,1,0.0
Blizzard World,Torbjörn,1,0,1,0.0
Blizzard World,Zenyatta,1,0,1,0.0
Busan,Ashe,2,2,0,1.0
Busan,Echo,1,1,0,1.0
Busan,Mercy,1,1,0,1.0
Busan,Pharah,1,1,0,1.0
Busan,Illari,7,6,1,0.8571
Busan,Sombra,3,2,1,0.6667
Busan,Ana,21,13,8,0.619
Busan,Baptiste,5,3,2,0.6
Busan,Winston,7,4,3,0.5714
Busan,Wuyang,18,10,8,0.5556
Busan,Wrecking Ball,19,10,9,0.5263
Busan,Emre,59,31,28,0.5254
Busan,Tracer,58,30,28,0.5172
Busan,Anran,8,4,4,0.5
Busan,Cassidy,18,9,9,0.5
Busan,Domina,8,4,4,0.5
Busan,Jetpack Cat,34,17,17,0.5
Busan,Mei,2,1,1,0.5
Busan,Ramattra,10,5,5,0.5
Busan,Venture,2,1,1,0.5
Busan,Zarya,22,11,11,0.5
Busan,Symmetra,77,38,39,0.4935
Busan,Juno,38,18,20,0.4737
Busan,Mizuki,17,8,9,0.4706
Busan,Kiriko,77,36,41,0.4675
Busan,D.Va,52,24,28,0.4615
Busan,Bastion,11,5,6,0.4545
Busan,Lúcio,49,22,27,0.449
Busan,Brigitte,18,8,10,0.4444
Busan,Mauga,9,4,5,0.4444
Busan,Sojourn,32,14,18,0.4375
Busan,Vendetta,37,15,22,0.4054
Busan,Orisa,13,5,8,0.3846
Busan,Hazard,6,2,4,0.3333
Busan,Reaper,6,2,4,0.3333
Busan,Sigma,3,1,2,0.3333
Busan,Soldier: 76,6,2,4,0.3333
Busan,Doomfist,9,2,7,0.2222
Busan,Widowmaker,8,1,7,0.125
Busan,Freja,1,0,1,0.0
Busan,Genji,2,0,2,0.0
Busan,Moira,2,0,2,0.0
Busan,Roadhog,1,0,1,0.0
Busan,Zenyatta,1,0,1,0.0
Colosseo,Cassidy,2,1,1,0.5
Colosseo,Domina,4,2,2,0.5
Colosseo,Juno,2,1,1,0.5
Colosseo,Kiriko,4,2,2,0.5
Colosseo,Lúcio,4,2,2,0.5
Colosseo,Sojourn,2,1,1,0.5
Colosseo,Tracer,4,2,2,0.5
Colosseo,Baptiste,1,0,1,0.0
Colosseo,Echo,1,0,1,0.0
Colosseo,Jetpack Cat,1,0,1,0.0
Eichenwalde,Baptiste,1,1,0,1.0
Eichenwalde,Lifeweaver,1,1,0,1.0
Eichenwalde,Pharah,1,1,0,1.0
Eichenwalde,Wrecking Ball,1,1,0,1.0
Eichenwalde,Lúcio,5,3,2,0.6
Eichenwalde,Sojourn,5,3,2,0.6
Eichenwalde,Cassidy,2,1,1,0.5
Eichenwalde,Echo,4,2,2,0.5
Eichenwalde,Kiriko,6,3,3,0.5
Eichenwalde,Tracer,2,1,1,0.5
Eichenwalde,Vendetta,4,2,2,0.5
Eichenwalde,Widowmaker,2,1,1,0.5
Eichenwalde,Zarya,2,1,1,0.5
Eichenwalde,D.Va,5,2,3,0.4
Eichenwalde,Jetpack Cat,5,2,3,0.4
Eichenwalde,Domina,3,1,2,0.3333
Eichenwalde,Anran,1,0,1,0.0
Esperança,Illari,8,6,2,0.75
Esperança,Domina,3,2,1,0.6667
Esperança,Ramattra,13,8,5,0.6154
