tournament_sheet,hero_name,matches_played,wins,losses,win_rate
China - Stage 1,Lifeweaver,3,3,0,1.0
China - Stage 1,Reinhardt,9,6,3,0.6667
China - Stage 1,Winston,21,12,9,0.5714
China - Stage 1,Wrecking Ball,23,13,10,0.5652
China - Stage 1,Widowmaker,43,24,19,0.5581
China - Stage 1,Jetpack Cat,51,28,23,0.549
China - Stage 1,Hanzo,11,6,5,0.5455
China - Stage 1,Ana,59,32,27,0.5424
China - Stage 1,Zarya,78,40,38,0.5128
China - Stage 1,Emre,144,73,71,0.5069
China - Stage 1,Lúcio,155,78,77,0.5032
China - Stage 1,Echo,10,5,5,0.5
China - Stage 1,Freja,6,3,3,0.5
China - Stage 1,Bastion,41,20,21,0.4878
China - Stage 1,Kiriko,206,100,106,0.4854
China - Stage 1,Mauga,33,16,17,0.4848
China - Stage 1,Symmetra,137,66,71,0.4818
China - Stage 1,Vendetta,106,51,55,0.4811
China - Stage 1,Reaper,25,12,13,0.48
China - Stage 1,Sojourn,96,46,50,0.4792
China - Stage 1,Hazard,38,18,20,0.4737
China - Stage 1,Juno,112,53,59,0.4732
China - Stage 1,D.Va,91,43,48,0.4725
China - Stage 1,Tracer,144,66,78,0.4583
China - Stage 1,Brigitte,62,28,34,0.4516
China - Stage 1,Genji,14,6,8,0.4286
China - Stage 1,Sierra,7,3,4,0.4286
China - Stage 1,Pharah,36,15,21,0.4167
China - Stage 1,Wuyang,34,14,20,0.4118
China - Stage 1,Orisa,39,15,24,0.3846
China - Stage 1,Soldier: 76,8,3,5,0.375
China - Stage 1,Baptiste,30,11,19,0.3667
China - Stage 1,Illari,28,10,18,0.3571
China - Stage 1,Ramattra,29,10,19,0.3448
China - Stage 1,Mercy,9,3,6,0.3333
China - Stage 1,Zenyatta,3,1,2,0.3333
China - Stage 1,Cassidy,46,15,31,0.3261
China - Stage 1,Mei,28,9,19,0.3214
China - Stage 1,Venture,15,4,11,0.2667
China - Stage 1,Anran,4,1,3,0.25
China - Stage 1,Doomfist,25,6,19,0.24
China - Stage 1,Sigma,22,5,17,0.2273
China - Stage 1,Junker Queen,6,1,5,0.1667
China - Stage 1,Ashe,6,0,6,0.0
China - Stage 1,Mizuki,3,0,3,0.0
China - Stage 1,Roadhog,4,0,4,0.0
EMEA - Stage 1,Bastion,2,2,0,1.0
EMEA - Stage 1,Cassidy,2,2,0,1.0
EMEA - Stage 1,Hanzo,1,1,0,1.0
EMEA - Stage 1,Mercy,3,3,0,1.0
EMEA - Stage 1,Sombra,1,1,0,1.0
EMEA - Stage 1,Orisa,6,4,2,0.6667
EMEA - Stage 1,Ramattra,3,2,1,0.6667
EMEA - Stage 1,Ana,11,7,4,0.6364
EMEA - Stage 1,Baptiste,5,3,2,0.6
