scope_type,scope_name,role,hero_name,map_sets_played,map_set_wins,map_set_losses,win_rate,non_mirror_map_sets_played,non_mirror_wins,non_mirror_losses,non_mirror_win_rate
overall,all,DPS,Tracer,812,364,448,0.4483,159,51,108,0.3208
overall,all,DPS,Emre,756,372,384,0.4921,156,73,83,0.4679
overall,all,DPS,Symmetra,615,304,311,0.4943,159,80,79,0.5031
overall,all,DPS,Vendetta,517,246,271,0.4758,163,69,94,0.4233
overall,all,DPS,Sojourn,484,205,279,0.4236,216,71,145,0.3287
overall,all,DPS,Cassidy,249,105,144,0.4217,161,63,98,0.3913
overall,all,DPS,Widowmaker,237,114,123,0.481,125,59,66,0.472
overall,all,DPS,Pharah,172,93,79,0.5407,116,65,51,0.5603
overall,all,DPS,Genji,130,54,76,0.4154,61,31,30,0.5082
overall,all,DPS,Bastion,107,51,56,0.4766,43,19,24,0.4419
overall,all,DPS,Echo,105,48,57,0.4571,85,38,47,0.4471
overall,all,DPS,Mei,77,30,47,0.3896,63,23,40,0.3651
overall,all,DPS,Reaper,62,28,34,0.4516,48,21,27,0.4375
overall,all,DPS,Hanzo,51,28,23,0.549,43,24,19,0.5581
overall,all,DPS,Venture,48,18,30,0.375,40,14,26,0.35
overall,all,DPS,Anran,39,19,20,0.4872,15,7,8,0.4667
overall,all,DPS,Ashe,26,10,16,0.3846,20,7,13,0.35
overall,all,DPS,Freja,25,8,17,0.32,25,8,17,0.32
overall,all,DPS,Sombra,23,8,15,0.3478,19,6,13,0.3158
overall,all,DPS,Soldier: 76,16,4,12,0.25,16,4,12,0.25
overall,all,DPS,Sierra,15,8,7,0.5333,11,6,5,0.5455
overall,all,DPS,Torbjörn,14,5,9,0.3571,10,3,7,0.3
overall,all,DPS,Junkrat,1,1,0,1.0,1,1,0,1.0
overall,all,Support,Kiriko,972,462,510,0.4753,110,35,75,0.3182
overall,all,Support,Lúcio,809,365,444,0.4512,158,54,104,0.3418
overall,all,Support,Juno,499,239,260,0.479,193,88,105,0.456
overall,all,Support,Ana,322,162,160,0.5031,109,66,43,0.6055
overall,all,Support,Brigitte,312,127,185,0.4071,156,49,107,0.3141
overall,all,Support,Jetpack Cat,260,132,128,0.5077,122,63,59,0.5164
