tournament_sheet,team_name,map_name,matches_played,wins,losses,win_rate
China - Stage 1,JD Gaming,Aatlis,3,3,0,1.0
China - Stage 1,Weibo Gaming,Aatlis,4,4,0,1.0
China - Stage 1,All Gamers,Aatlis,6,4,2,0.6667
China - Stage 1,Homie E,Aatlis,2,1,1,0.5
China - Stage 1,SV,Aatlis,5,2,3,0.4
China - Stage 1,Naive Piggy,Aatlis,7,2,5,0.2857
China - Stage 1,DEG,Aatlis,2,0,2,0.0
China - Stage 1,Milk Tea,Aatlis,3,0,3,0.0
China - Stage 1,Weibo Gaming,Blizzard World,3,3,0,1.0
China - Stage 1,All Gamers,Blizzard World,2,1,1,0.5
China - Stage 1,Naive Piggy,Blizzard World,2,1,1,0.5
China - Stage 1,JD Gaming,Blizzard World,3,1,2,0.3333
China - Stage 1,SV,Blizzard World,2,0,2,0.0
China - Stage 1,Homie E,Busan,1,1,0,1.0
China - Stage 1,Weibo Gaming,Busan,1,1,0,1.0
China - Stage 1,All Gamers,Busan,6,5,1,0.8333
China - Stage 1,Milk Tea,Busan,3,2,1,0.6667
China - Stage 1,DEG,Busan,1,0,1,0.0
China - Stage 1,JD Gaming,Busan,2,0,2,0.0
China - Stage 1,Naive Piggy,Busan,2,0,2,0.0
China - Stage 1,SV,Busan,2,0,2,0.0
China - Stage 1,Weibo Gaming,Esperança,4,4,0,1.0
China - Stage 1,All Gamers,Esperança,6,4,2,0.6667
China - Stage 1,JD Gaming,Esperança,4,2,2,0.5
China - Stage 1,SV,Esperança,2,1,1,0.5
China - Stage 1,Milk Tea,Esperança,7,3,4,0.4286
China - Stage 1,Naive Piggy,Esperança,7,3,4,0.4286
China - Stage 1,DEG,Esperança,2,0,2,0.0
China - Stage 1,Homie E,Esperança,2,0,2,0.0
China - Stage 1,JD Gaming,Havana,5,4,1,0.8
China - Stage 1,All Gamers,Havana,6,4,2,0.6667
China - Stage 1,Naive Piggy,Havana,3,2,1,0.6667
China - Stage 1,Weibo Gaming,Havana,5,2,3,0.4
China - Stage 1,SV,Havana,3,1,2,0.3333
China - Stage 1,Milk Tea,Havana,4,1,3,0.25
China - Stage 1,DEG,Havana,1,0,1,0.0
China - Stage 1,Homie E,Havana,1,0,1,0.0
China - Stage 1,Weibo Gaming,Lijiang Tower,10,9,1,0.9
China - Stage 1,SV,Lijiang Tower,7,5,2,0.7143
China - Stage 1,DEG,Lijiang Tower,2,1,1,0.5
China - Stage 1,All Gamers,Lijiang Tower,5,2,3,0.4
China - Stage 1,JD Gaming,Lijiang Tower,5,2,3,0.4
China - Stage 1,Naive Piggy,Lijiang Tower,7,2,5,0.2857
China - Stage 1,Homie E,Lijiang Tower,2,0,2,0.0
China - Stage 1,Milk Tea,Lijiang Tower,4,0,4,0.0
China - Stage 1,All Gamers,Midtown,1,1,0,1.0
China - Stage 1,JD Gaming,Midtown,2,2,0,1.0
China - Stage 1,Weibo Gaming,Midtown,1,1,0,1.0
China - Stage 1,Milk Tea,Midtown,2,1,1,0.5
China - Stage 1,Naive Piggy,Midtown,1,0,1,0.0
China - Stage 1,SV,Midtown,3,0,3,0.0
China - Stage 1,Homie E,Numbani,1,1,0,1.0
China - Stage 1,Naive Piggy,Numbani,1,1,0,1.0
China - Stage 1,Weibo Gaming,Numbani,3,2,1,0.6667
China - Stage 1,All Gamers,Numbani,6,3,3,0.5
