player_name,tournament_sheet,unique_heroes_used,total_usage,diversity_ratio
Eileen,China - Stage 1,16,55,0.2909
Proper,Korea - Stage 1,16,86,0.186
Leave,China - Stage 1,15,77,0.1948
knife,Korea - Stage 1,15,88,0.1705
HeeSang,Korea - Stage 1,14,76,0.1842
STALK3R,Korea - Stage 1,14,73,0.1918
Ezhan,China - Stage 1,13,96,0.1354
SP1NT,Korea - Stage 1,13,97,0.134
BABAYAGA,China - Stage 1,12,54,0.2222
Heesung,Japan - Stage 1,12,71,0.169
Insane,China - Stage 1,12,30,0.4
MCD,Korea - Stage 1,12,39,0.3077
NICO,Japan - Stage 1,12,48,0.25
TR33,North America - Stage 1,12,60,0.2
Alphari,China - Stage 1,11,71,0.1549
Argon,Korea - Stage 1,11,60,0.1833
Checkmate,Korea - Stage 1,11,65,0.1692
DONGHAK,Korea - Stage 1,11,29,0.3793
Diya,China - Stage 1,11,63,0.1746
HEISER,Korea - Stage 1,11,63,0.1746
KILO,Korea - Stage 1,11,74,0.1486
NHZ,Japan - Stage 1,11,38,0.2895
Pineapple,China - Stage 1,11,74,0.1486
Seonjun,North America - Stage 1,11,60,0.1833
TOPDRAGON,Japan - Stage 1,11,57,0.193
Taimouren,China - Stage 1,11,58,0.1897
Vosa1q,Japan - Stage 1,11,35,0.3143
ans,Japan - Stage 1,11,55,0.2
feiyang,China - Stage 1,11,64,0.1719
prot3ct,China - Stage 1,11,57,0.193
ta1yo,Japan - Stage 1,11,53,0.2075
ATTACK,Korea - Stage 1,10,69,0.1449
BERNAR,Korea - Stage 1,10,33,0.303
Belosrea,China - Stage 1,10,78,0.1282
D4RT,Korea - Stage 1,10,56,0.1786
Edison,Japan - Stage 1,10,76,0.1316
Hypnos,China - Stage 1,10,35,0.2857
Jasm1ne,Korea - Stage 1,10,32,0.3125
JunBin,Korea - Stage 1,10,43,0.2326
Kaneki,China - Stage 1,10,74,0.1351
LiGe,China - Stage 1,10,68,0.1471
Lukemino,North America - Stage 1,10,66,0.1515
M1NUT2,Korea - Stage 1,10,53,0.1887
Mihawk,Japan - Stage 1,10,46,0.2174
NewJ,Japan - Stage 1,10,55,0.1818
PEPPI,Japan - Stage 1,10,50,0.2
PaLee,Pacific - Stage 1,10,30,0.3333
Proud,Korea - Stage 1,10,47,0.2128
Secret,Korea - Stage 1,10,35,0.2857
ZeSin,Korea - Stage 1,10,37,0.2703
Zephyr,Pacific - Stage 1,10,36,0.2778
guxue,China - Stage 1,10,45,0.2222
sniper,North America - Stage 1,10,26,0.3846
APDO,Japan - Stage 1,9,53,0.1698
Colourhex,Pacific - Stage 1,9,20,0.45
DOX,Japan - Stage 1,9,39,0.2308
Elva,Pacific - Stage 1,9,40,0.225
Grapes,North America - Stage 1,9,27,0.3333
Gur3um,Korea - Stage 1,9,39,0.2308
Hanbin,Korea - Stage 1,9,39,0.2308
ICHI,Japan - Stage 1,9,58,0.1552
Infekted,North America - Stage 1,9,42,0.2143
Kronik,North America - Stage 1,9,55,0.1636
Lengsa,China - Stage 1,9,72,0.125
Littlemoon,China - Stage 1,9,58,0.1552
Mer1t,Korea - Stage 1,9,32,0.2812
MewTwo,China - Stage 1,9,58,0.1552
PGE,North America - Stage 1,9,48,0.1875
Setsuna,Japan - Stage 1,9,50,0.18
TKL,Pacific - Stage 1,9,39,0.2308
homerunball,Japan - Stage 1,9,49,0.1837
sgy,Pacific - Stage 1,9,31,0.2903
A1IEN,Korea - Stage 1,8,41,0.1951
Ade,EMEA - Stage 1,8,47,0.1702
Becky,Korea - Stage 1,8,54,0.1481
CH0R0NG,Korea - Stage 1,8,28,0.2857
Coldj,China - Stage 1,8,53,0.1509
Daisy,Japan - Stage 1,8,41,0.1951
FARMER,Korea - Stage 1,8,27,0.2963
