player_name,hero_name,matches_played,wins,losses,win_rate
Fielder,Kiriko,44,26,18,0.5909
Recall,Kiriko,38,23,15,0.6053
Vigilante,Kiriko,36,24,12,0.6667
iRONY,Kiriko,36,16,20,0.4444
Kevster,Emre,34,20,14,0.5882
ChiYo,Lúcio,34,20,14,0.5882
HeeSang,Tracer,34,19,15,0.5588
Landon,Kiriko,31,20,11,0.6452
Lengsa,Lúcio,31,20,11,0.6452
Mmonk,Kiriko,31,18,13,0.5806
KILO,Emre,31,17,14,0.5484
OPENER,Lúcio,30,14,16,0.4667
Admiral,Lúcio,30,14,16,0.4667
Simple,Kiriko,29,26,3,0.8966
Bliss,Lúcio,29,20,9,0.6897
skewed,Kiriko,29,19,10,0.6552
ZIYAD,Zarya,29,14,15,0.4828
Quartz,Emre,28,27,1,0.9643
FunnyAstro,Lúcio,28,25,3,0.8929
MAKA,Kiriko,28,22,6,0.7857
Ezhan,Emre,28,20,8,0.7143
FiXa,Lúcio,28,18,10,0.6429
Kaneki,Tracer,28,17,11,0.6071
D4IJIN,Kiriko,28,12,16,0.4286
LBBD7,Emre,28,12,16,0.4286
FiNN,Kiriko,28,12,16,0.4286
Diya,Kiriko,28,9,19,0.3214
Argon,Tracer,28,6,22,0.2143
Proper,Tracer,27,22,5,0.8148
Lethal,Emre,27,14,13,0.5185
KIVIS,Kiriko,27,11,16,0.4074
Noy,Kiriko,27,10,17,0.3704
Checkmate,Symmetra,26,14,12,0.5385
MewTwo,Lúcio,26,14,12,0.5385
UltraViolet,Kiriko,26,13,13,0.5
SORI,Emre,26,10,16,0.3846
Fielder,Juno,25,16,9,0.64
Soae,Symmetra,25,16,9,0.64
eisgnom,Zarya,25,14,11,0.56
HeeSang,Symmetra,25,13,12,0.52
Hawk,D.Va,25,13,12,0.52
SP1NT,Tracer,25,11,14,0.44
Haku,Lúcio,25,11,14,0.44
NICO,Emre,24,23,1,0.9583
LiGe,D.Va,24,17,7,0.7083
NewJ,Emre,24,16,8,0.6667
Ky0n,Cassidy,24,15,9,0.625
Pineapple,Emre,24,15,9,0.625
JAYA,Vendetta,24,11,13,0.4583
TR33,Emre,24,10,14,0.4167
Zeruhh,Tracer,24,9,15,0.375
Ade,Emre,24,9,15,0.375
JaeWoo,Tracer,23,20,3,0.8696
LeeSooMin,Lúcio,23,19,4,0.8261
Kronik,Sojourn,23,16,7,0.6957
SP1NT,Symmetra,23,15,8,0.6522
Recall,Juno,23,15,8,0.6522
Seicoe,Tracer,23,14,9,0.6087
Sugarfree,Tracer,23,11,12,0.4783
sara,Juno,23,10,13,0.4348
Littlemoon,Emre,23,8,15,0.3478
A1WAYS,Lúcio,23,8,15,0.3478
shu,Ana,22,20,2,0.9091
ATTACK,D.Va,22,13,9,0.5909
Hanbin,D.Va,22,12,10,0.5455
YangJun,Lúcio,22,9,13,0.4091
orca,Kiriko,22,8,14,0.3636
FDGod,Lúcio,22,6,16,0.2727
CARU,Kiriko,22,6,16,0.2727
