tournament_sheet,match_id,match_title,map_set_index,map_name,team_top,team_bottom,winning_team,losing_team,detected_win_text,source_cell
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],0,Ilios,Disguised,Team Peps,Disguised,Team Peps,Disguised Wins!,X16
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],1,Shambali Monastery,Disguised,Team Peps,Disguised,Team Peps,Disguised Wins!,AO16
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],2,Esperança,Disguised,Team Peps,Team Peps,Disguised,Team Peps Wins!,BF16
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],3,Midtown,Disguised,Team Peps,,,Draw!,BW16
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],4,New Junk City,Disguised,Team Peps,Team Peps,Disguised,Team Peps Wins!,CN16
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0001,Round 1 [Bo5],5,Watchpoint: Gibraltar,Disguised,Team Peps,Team Peps,Disguised,Team Peps Wins!,DE16
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0002,Round 1 [Bo5],0,Lijiang Tower,VARREL,Team Falcons,Team Falcons,VARREL,Team Falcons Wins!,X42
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0002,Round 1 [Bo5],1,Shambali Monastery,VARREL,Team Falcons,Team Falcons,VARREL,Team Falcons Wins!,AO42
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0002,Round 1 [Bo5],2,Midtown,VARREL,Team Falcons,Team Falcons,VARREL,Team Falcons Wins!,BF42
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0003,Round 1 [Bo5],0,Lijiang Tower,Dallas Fuel,T1,T1,Dallas Fuel,T1 Wins!,X68
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0003,Round 1 [Bo5],1,Midtown,Dallas Fuel,T1,T1,Dallas Fuel,T1 Wins!,AO68
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0003,Round 1 [Bo5],2,Havana,Dallas Fuel,T1,Dallas Fuel,T1,Dallas Fuel Wins!,BF68
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0003,Round 1 [Bo5],3,New Junk City,Dallas Fuel,T1,T1,Dallas Fuel,T1 Wins!,BW68
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0004,Round 1 [Bo5],0,Ilios,Virtus.pro,All Gamers,Virtus.pro,All Gamers,Virtus.pro Wins!,X94
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0004,Round 1 [Bo5],1,Eichenwalde,Virtus.pro,All Gamers,Virtus.pro,All Gamers,Virtus.pro Wins!,AO94
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0004,Round 1 [Bo5],2,Shambali Monastery,Virtus.pro,All Gamers,Virtus.pro,All Gamers,Virtus.pro Wins!,BF94
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0005,Quarterfinals [Bo5],0,Busan,Crazy Raccoon,Team Peps,Crazy Raccoon,Team Peps,Crazy Raccoon Wins!,X120
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0005,Quarterfinals [Bo5],1,Esperança,Crazy Raccoon,Team Peps,Team Peps,Crazy Raccoon,Team Peps Wins!,AO120
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0005,Quarterfinals [Bo5],2,Shambali Monastery,Crazy Raccoon,Team Peps,Crazy Raccoon,Team Peps,Crazy Raccoon Wins!,BF120
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0005,Quarterfinals [Bo5],3,Blizzard World,Crazy Raccoon,Team Peps,Crazy Raccoon,Team Peps,Crazy Raccoon Wins!,BW120
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],0,Ilios,Weibo Gaming,Team Falcons,Team Falcons,Weibo Gaming,Team Falcons Wins!,X146
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],1,Midtown,Weibo Gaming,Team Falcons,Weibo Gaming,Team Falcons,Weibo Gaming Wins!,AO146
Pre-Season Bootcamp,Pre-Season Bootcamp__match_0006,Quarterfinals [Bo5],2,Esperança,Weibo Gaming,Team Falcons,Team Falcons,Weibo Gaming,Team Falcons Wins!,BF146
