match_id,tournament_sheet,match_title,event_title,team_top,team_bottom,maps,active_blocks,match_start_row
Pre-Season Bootcamp__match_0001,Pre-Season Bootcamp,Round 1 [Bo5],Week 1 | Day 1 | Game 1,Disguised,Team Peps,Ilios; Shambali Monastery; Esperança; Midtown; New Junk City; Watchpoint: Gibraltar,6,3
Pre-Season Bootcamp__match_0002,Pre-Season Bootcamp,Round 1 [Bo5],Week 1 | Day 1 | Game 2,VARREL,Team Falcons,Lijiang Tower; Shambali Monastery; Midtown,3,29
Pre-Season Bootcamp__match_0003,Pre-Season Bootcamp,Round 1 [Bo5],Week 1 | Day 1 | Game 3,Dallas Fuel,T1,Lijiang Tower; Midtown; Havana; New Junk City,4,55
Pre-Season Bootcamp__match_0004,Pre-Season Bootcamp,Round 1 [Bo5],Week 1 | Day 1 | Game 4,Virtus.pro,All Gamers,Ilios; Eichenwalde; Shambali Monastery,3,81
Pre-Season Bootcamp__match_0005,Pre-Season Bootcamp,Quarterfinals [Bo5],Week 1 | Day 2 | Game 1,Crazy Raccoon,Team Peps,Busan; Esperança; Shambali Monastery; Blizzard World,4,107
Pre-Season Bootcamp__match_0006,Pre-Season Bootcamp,Quarterfinals [Bo5],Week 1 | Day 2 | Game 2,Weibo Gaming,Team Falcons,Ilios; Midtown; Esperança; Havana; Shambali Monastery,5,133
Pre-Season Bootcamp__match_0007,Pre-Season Bootcamp,Quarterfinals [Bo5],Week 1 | Day 2 | Game 3,Twisted Minds,T1,Busan; Blizzard World; New Junk City,3,159
Pre-Season Bootcamp__match_0008,Pre-Season Bootcamp,Quarterfinals [Bo5],Week 1 | Day 2 | Game 4,Team Liquid,Virtus.pro,Lijiang Tower; Eichenwalde; New Junk City; Havana,4,185
Pre-Season Bootcamp__match_0009,Pre-Season Bootcamp,Semifinals [Bo5],Week 1 | Day 3 | Game 1,Crazy Raccoon,Team Falcons,Busan; Blizzard World; Esperança; Watchpoint: Gibraltar; Lijiang Tower,5,211
Pre-Season Bootcamp__match_0010,Pre-Season Bootcamp,Semifinals [Bo5],Week 1 | Day 3 | Game 2,Twisted Minds,Team Liquid,Lijiang Tower; Esperança; Eichenwalde; Havana; Colosseo,5,237
Pre-Season Bootcamp__match_0011,Pre-Season Bootcamp,Grand Finals [Bo7],Week 1 | Day 3 | Game 3,Crazy Raccoon,Twisted Minds,Busan; Blizzard World; Colosseo; Shambali Monastery; Esperança,5,263
Japan - Stage 1__match_0001,Japan - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 1,Please Not Hero Ban,Telomere,Oasis; Watchpoint: Gibraltar; Aatlis; Blizzard World,4,3
Japan - Stage 1__match_0002,Japan - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 2,ENTER FORCE.36,Nyam Gaming,Oasis; Aatlis; Midtown,3,29
Japan - Stage 1__match_0003,Japan - Stage 1,Round Robin [Bo5],Week 1 | Day 1 | Game 3,TOKYO TAIYOs,VARREL,Busan; Runasapi; Watchpoint: Gibraltar,3,55
Japan - Stage 1__match_0004,Japan - Stage 1,Round Robin [Bo5],Week 1 | Day 2 | Game 1,Lazuli,99DIVINE,Lijiang Tower; Esperança; Watchpoint: Gibraltar,3,81
Japan - Stage 1__match_0005,Japan - Stage 1,Round Robin [Bo5],Week 1 | Day 2 | Game 2,Please Not Hero Ban,VARREL,Busan; Esperança; Blizzard World,3,107
Japan - Stage 1__match_0006,Japan - Stage 1,Round Robin [Bo5],Week 1 | Day 2 | Game 3,TOKYO TAIYOs,Nyam Gaming,Lijiang Tower; Havana; Aatlis; Numbani,4,133
Japan - Stage 1__match_0007,Japan - Stage 1,Round Robin [Bo5],Week 2 | Day 1 | Game 1,Please Not Hero Ban,Lazuli,Busan; Runasapi; Rialto,3,159
