team_name,hero_name,matches_played,wins,losses,win_rate
99DIVINE,Roadhog,1,1,0,1.0
99DIVINE,Pharah,3,2,1,0.6667
99DIVINE,Echo,7,4,3,0.5714
99DIVINE,Mizuki,4,2,2,0.5
99DIVINE,Orisa,4,2,2,0.5
99DIVINE,Wuyang,9,4,5,0.4444
99DIVINE,Kiriko,28,12,16,0.4286
99DIVINE,Ana,20,8,12,0.4
99DIVINE,Winston,18,7,11,0.3889
99DIVINE,Emre,26,10,16,0.3846
99DIVINE,Vendetta,8,3,5,0.375
99DIVINE,Tracer,30,11,19,0.3667
99DIVINE,Symmetra,12,4,8,0.3333
99DIVINE,Wrecking Ball,6,2,4,0.3333
99DIVINE,D.Va,13,4,9,0.3077
99DIVINE,Cassidy,10,3,7,0.3
99DIVINE,Jetpack Cat,7,2,5,0.2857
99DIVINE,Mauga,4,1,3,0.25
99DIVINE,Juno,13,3,10,0.2308
99DIVINE,Lúcio,19,4,15,0.2105
99DIVINE,Hazard,10,2,8,0.2
99DIVINE,Genji,6,1,5,0.1667
99DIVINE,Sojourn,7,1,6,0.1429
99DIVINE,Brigitte,9,1,8,0.1111
99DIVINE,Zarya,7,0,7,0.0
99DIVINE,Widowmaker,3,0,3,0.0
99DIVINE,Baptiste,1,0,1,0.0
99DIVINE,Sigma,1,0,1,0.0
99DIVINE,Zenyatta,1,0,1,0.0
99DIVINE,Venture,1,0,1,0.0
99DIVINE,Sombra,1,0,1,0.0
99DIVINE,Soldier: 76,1,0,1,0.0
Al Qadsiah,Bastion,1,1,0,1.0
Al Qadsiah,Sombra,1,1,0,1.0
Al Qadsiah,Baptiste,1,1,0,1.0
Al Qadsiah,Orisa,4,3,1,0.75
Al Qadsiah,D.Va,8,5,3,0.625
Al Qadsiah,Zenyatta,5,3,2,0.6
Al Qadsiah,Ana,5,3,2,0.6
Al Qadsiah,Lúcio,21,10,11,0.4762
Al Qadsiah,Kiriko,20,9,11,0.45
Al Qadsiah,Vendetta,18,8,10,0.4444
Al Qadsiah,Pharah,10,4,6,0.4
Al Qadsiah,Emre,24,9,15,0.375
Al Qadsiah,Zarya,17,6,11,0.3529
Al Qadsiah,Widowmaker,9,3,6,0.3333
Al Qadsiah,Domina,3,1,2,0.3333
Al Qadsiah,Winston,3,1,2,0.3333
Al Qadsiah,Brigitte,7,2,5,0.2857
Al Qadsiah,Juno,18,5,13,0.2778
Al Qadsiah,Symmetra,12,3,9,0.25
Al Qadsiah,Genji,4,1,3,0.25
Al Qadsiah,Tracer,15,3,12,0.2
Al Qadsiah,Sojourn,7,1,6,0.1429
Al Qadsiah,Illari,7,1,6,0.1429
Al Qadsiah,Mauga,7,0,7,0.0
Al Qadsiah,Echo,2,0,2,0.0
Al Qadsiah,Sigma,2,0,2,0.0
Al Qadsiah,Jetpack Cat,2,0,2,0.0
Al Qadsiah,Wrecking Ball,1,0,1,0.0
All Gamers,Lifeweaver,3,3,0,1.0
All Gamers,Orisa,2,2,0,1.0
All Gamers,Wuyang,2,2,0,1.0
All Gamers,Vendetta,12,9,3,0.75
All Gamers,Zarya,11,8,3,0.7273
All Gamers,D.Va,24,17,7,0.7083
All Gamers,Juno,24,16,8,0.6667
All Gamers,Brigitte,12,8,4,0.6667
All Gamers,Genji,6,4,2,0.6667
All Gamers,Widowmaker,17,11,6,0.6471
All Gamers,Emre,32,20,12,0.625
All Gamers,Ana,16,10,6,0.625
All Gamers,Symmetra,29,18,11,0.6207
All Gamers,Lúcio,34,21,13,0.6176
All Gamers,Kiriko,40,24,16,0.6
All Gamers,Reinhardt,5,3,2,0.6
All Gamers,Baptiste,7,4,3,0.5714
All Gamers,Tracer,38,21,17,0.5526
All Gamers,Cassidy,12,6,6,0.5
All Gamers,Bastion,12,6,6,0.5
All Gamers,Pharah,8,4,4,0.5
All Gamers,Wrecking Ball,6,3,3,0.5
All Gamers,Reaper,6,3,3,0.5
All Gamers,Hanzo,4,2,2,0.5
All Gamers,Winston,4,2,2,0.5
All Gamers,Jetpack Cat,21,10,11,0.4762
All Gamers,Sojourn,9,4,5,0.4444
All Gamers,Soldier: 76,7,3,4,0.4286
All Gamers,Mauga,17,7,10,0.4118
All Gamers,Echo,5,2,3,0.4
All Gamers,Illari,3,1,2,0.3333
All Gamers,Sigma,3,1,2,0.3333
All Gamers,Mercy,3,1,2,0.3333
All Gamers,Venture,4,1,3,0.25
All Gamers,Ramattra,5,1,4,0.2
All Gamers,Mei,6,1,5,0.1667
All Gamers,Domina,3,0,3,0.0
All Gamers,Anran,2,0,2,0.0
All Gamers,Mizuki,2,0,2,0.0
All Gamers,Hazard,2,0,2,0.0
All Gamers,Doomfist,1,0,1,0.0
Anyone's Legend,Symmetra,1,1,0,1.0
Anyone's Legend,Illari,1,1,0,1.0
Anyone's Legend,Mauga,7,4,3,0.5714
Anyone's Legend,D.Va,4,2,2,0.5
Anyone's Legend,Lifeweaver,2,1,1,0.5
Anyone's Legend,Widowmaker,5,2,3,0.4
Anyone's Legend,Brigitte,3,1,2,0.3333
Anyone's Legend,Sojourn,7,2,5,0.2857
Anyone's Legend,Tracer,11,3,8,0.2727
Anyone's Legend,Pharah,4,1,3,0.25
Anyone's Legend,Kiriko,17,4,13,0.2353
Anyone's Legend,Emre,13,3,10,0.2308
Anyone's Legend,Lúcio,15,3,12,0.2
Anyone's Legend,Juno,10,2,8,0.2
Anyone's Legend,Wrecking Ball,5,1,4,0.2
Anyone's Legend,Vendetta,9,1,8,0.1111
Anyone's Legend,Zarya,7,0,7,0.0
Anyone's Legend,Echo,5,0,5,0.0
Anyone's Legend,Winston,5,0,5,0.0
Anyone's Legend,Doomfist,2,0,2,0.0
Anyone's Legend,Ana,2,0,2,0.0
Anyone's Legend,Orisa,1,0,1,0.0
Anyone's Legend,Freja,1,0,1,0.0
Anyone's Legend,Reaper,1,0,1,0.0
Anyone's Legend,Jetpack Cat,1,0,1,0.0
Cheeseburger,Bastion,6,3,3,0.5
Cheeseburger,Freja,2,1,1,0.5
Cheeseburger,Mei,2,1,1,0.5
Cheeseburger,Zenyatta,2,1,1,0.5
Cheeseburger,Jetpack Cat,9,3,6,0.3333
Cheeseburger,Ana,20,5,15,0.25
Cheeseburger,Winston,12,3,9,0.25
Cheeseburger,D.Va,8,2,6,0.25
Cheeseburger,Echo,4,1,3,0.25
Cheeseburger,Brigitte,9,2,7,0.2222
Cheeseburger,Tracer,28,6,22,0.2143
Cheeseburger,Cassidy,6,1,5,0.1667
Cheeseburger,Mauga,6,1,5,0.1667
Cheeseburger,Pharah,6,1,5,0.1667
Cheeseburger,Symmetra,14,2,12,0.1429
Cheeseburger,Genji,7,1,6,0.1429
Cheeseburger,Widowmaker,8,1,7,0.125
Cheeseburger,Juno,8,1,7,0.125
Cheeseburger,Kiriko,18,2,16,0.1111
