team_name,hero_name,usage_count,usage_ratio
99DIVINE,Tracer,37,0.1146
99DIVINE,Kiriko,28,0.0867
99DIVINE,Emre,26,0.0805
99DIVINE,Ana,26,0.0805
99DIVINE,Lúcio,25,0.0774
99DIVINE,Winston,24,0.0743
99DIVINE,Juno,14,0.0433
99DIVINE,Symmetra,13,0.0402
99DIVINE,D.Va,13,0.0402
99DIVINE,Genji,12,0.0372
99DIVINE,Cassidy,10,0.031
99DIVINE,Hazard,10,0.031
99DIVINE,Wuyang,9,0.0279
99DIVINE,Brigitte,9,0.0279
99DIVINE,Vendetta,8,0.0248
99DIVINE,Echo,7,0.0217
99DIVINE,Jetpack Cat,7,0.0217
99DIVINE,Sojourn,7,0.0217
99DIVINE,Zarya,7,0.0217
99DIVINE,Wrecking Ball,6,0.0186
99DIVINE,Mizuki,4,0.0124
99DIVINE,Orisa,4,0.0124
99DIVINE,Mauga,4,0.0124
99DIVINE,Widowmaker,3,0.0093
99DIVINE,Pharah,3,0.0093
99DIVINE,Roadhog,1,0.0031
99DIVINE,Baptiste,1,0.0031
99DIVINE,Sigma,1,0.0031
99DIVINE,Zenyatta,1,0.0031
99DIVINE,Venture,1,0.0031
99DIVINE,Sombra,1,0.0031
99DIVINE,Soldier: 76,1,0.0031
Al Qadsiah,Emre,24,0.0941
Al Qadsiah,Lúcio,24,0.0941
Al Qadsiah,Vendetta,21,0.0824
Al Qadsiah,Kiriko,20,0.0784
Al Qadsiah,Tracer,19,0.0745
Al Qadsiah,Juno,18,0.0706
Al Qadsiah,Zarya,17,0.0667
Al Qadsiah,Symmetra,13,0.051
Al Qadsiah,Pharah,10,0.0392
Al Qadsiah,Widowmaker,9,0.0353
Al Qadsiah,D.Va,8,0.0314
Al Qadsiah,Ana,8,0.0314
Al Qadsiah,Sojourn,7,0.0275
Al Qadsiah,Mauga,7,0.0275
Al Qadsiah,Brigitte,7,0.0275
Al Qadsiah,Illari,7,0.0275
Al Qadsiah,Genji,7,0.0275
Al Qadsiah,Winston,6,0.0235
Al Qadsiah,Zenyatta,5,0.0196
Al Qadsiah,Orisa,4,0.0157
Al Qadsiah,Echo,3,0.0118
Al Qadsiah,Domina,3,0.0118
Al Qadsiah,Sigma,2,0.0078
Al Qadsiah,Jetpack Cat,2,0.0078
Al Qadsiah,Bastion,1,0.0039
Al Qadsiah,Wrecking Ball,1,0.0039
Al Qadsiah,Sombra,1,0.0039
Al Qadsiah,Baptiste,1,0.0039
All Gamers,Tracer,41,0.0858
All Gamers,Kiriko,40,0.0837
All Gamers,Lúcio,37,0.0774
All Gamers,Emre,32,0.0669
All Gamers,Symmetra,30,0.0628
All Gamers,D.Va,24,0.0502
All Gamers,Juno,24,0.0502
All Gamers,Jetpack Cat,21,0.0439
All Gamers,Ana,19,0.0397
All Gamers,Widowmaker,17,0.0356
All Gamers,Mauga,17,0.0356
All Gamers,Bastion,13,0.0272
All Gamers,Cassidy,12,0.0251
All Gamers,Vendetta,12,0.0251
All Gamers,Brigitte,12,0.0251
All Gamers,Zarya,11,0.023
All Gamers,Sojourn,9,0.0188
All Gamers,Genji,9,0.0188
All Gamers,Pharah,8,0.0167
All Gamers,Reaper,8,0.0167
All Gamers,Baptiste,7,0.0146
All Gamers,Soldier: 76,7,0.0146
All Gamers,Winston,7,0.0146
All Gamers,Mei,6,0.0126
All Gamers,Wrecking Ball,6,0.0126
All Gamers,Echo,5,0.0105
All Gamers,Ramattra,5,0.0105
All Gamers,Reinhardt,5,0.0105
All Gamers,Venture,4,0.0084
All Gamers,Hanzo,4,0.0084
All Gamers,Domina,3,0.0063
All Gamers,Illari,3,0.0063
All Gamers,Sigma,3,0.0063
All Gamers,Lifeweaver,3,0.0063
All Gamers,Mercy,3,0.0063
All Gamers,Anran,2,0.0042
All Gamers,Mizuki,2,0.0042
All Gamers,Orisa,2,0.0042
All Gamers,Hazard,2,0.0042
All Gamers,Wuyang,2,0.0042
All Gamers,Doomfist,1,0.0021
Anyone's Legend,Kiriko,17,0.1223
Anyone's Legend,Lúcio,15,0.1079
Anyone's Legend,Emre,13,0.0935
Anyone's Legend,Tracer,11,0.0791
Anyone's Legend,Juno,10,0.0719
Anyone's Legend,Vendetta,9,0.0647
Anyone's Legend,Zarya,7,0.0504
Anyone's Legend,Sojourn,7,0.0504
Anyone's Legend,Mauga,7,0.0504
Anyone's Legend,Widowmaker,5,0.036
Anyone's Legend,Echo,5,0.036
Anyone's Legend,Winston,5,0.036
Anyone's Legend,Wrecking Ball,5,0.036
Anyone's Legend,Pharah,4,0.0288
Anyone's Legend,D.Va,4,0.0288
Anyone's Legend,Brigitte,3,0.0216
Anyone's Legend,Lifeweaver,2,0.0144
Anyone's Legend,Doomfist,2,0.0144
Anyone's Legend,Ana,2,0.0144
Anyone's Legend,Orisa,1,0.0072
Anyone's Legend,Freja,1,0.0072
Anyone's Legend,Symmetra,1,0.0072
Anyone's Legend,Reaper,1,0.0072
Anyone's Legend,Illari,1,0.0072
Anyone's Legend,Jetpack Cat,1,0.0072
Cheeseburger,Tracer,34,0.1126
Cheeseburger,Lúcio,29,0.096
Cheeseburger,Ana,25,0.0828
Cheeseburger,Kiriko,18,0.0596
Cheeseburger,Winston,17,0.0563
Cheeseburger,Symmetra,16,0.053
Cheeseburger,Sojourn,12,0.0397
Cheeseburger,Emre,12,0.0397
Cheeseburger,Genji,12,0.0397
Cheeseburger,Vendetta,10,0.0331
Cheeseburger,Zarya,10,0.0331
Cheeseburger,Brigitte,9,0.0298
